STT,Câu hỏi,Chương,A,B,C,D
102,Sự khác biệt giữa TPS và MIS được thể hiện ở,5,[]cho biêt sự khác biệt giữa 2 loại dựa trên loại người dùng,"[]Các tài liệu do hệ thống xử lý giao dịch và hệ thống thông tin quản
lý tạo ra khác nhau",[]Các hoạt động do TPS thực hiện khác với MIS,[x] Tất cả các đáp án trên
103,TPS xử lý dữ liệu nào,5,[x]Dữ liệu thô,[]Dữ liệu từ MIS,[]Dữ liệu đã được tinh chính,[]Dữ liệu từ DSS
104,Đâu là ví dụ của xử lý theo lô trong TPS,5,[] Bán vé máy bay,[x]Trả lương nhân viên,[]THị trường chứng khoán,[] Đặt chỗ online
105,Đâu không phải chức năng của hệ thống xử lý giao dịch,5,[]Chức năng đầu vào,[]Chức năng đầu ra,[] Chức năng lưu trữ,[x] Chức năng thống kê
106,Xử lý giao dịch (transaction processtion) gồm:,5,[x] Tất cả các đáp án trên,[] Các quy trình kinh doanh chính,[] Cung cấp các hoạt động quan trọng của nhiệm vụ,[] Giao dịch có thể tạo thêm giao dịch
107,PCS thường được sử dụng để theo dõi và kiểm soát quy trình sản xuất. Cụ thể PCS thường liên quan đến việc,5,[x] Kiểm soát chất lượng sản phẩm,[] Quản lý nhân sự,[] Tính toán tài chính doanh nghiệp,[] Tạo và duy trì website
108,"Trong ngữ cảnh doanh nghiệp, một hệ thống ECS thường được thiết kế để làm gì",5,[x] Giám sát và kiểm soát toàn bộ doanh nghiệp,[] Quản lý quan hệ khách hàng (CRM),[] Tối ưu hóa quy trình sản xuất,[] Tạo ra chiến lược tiếp thị số
109,Tại sao Hệ thống Xử lý Giao dịch (TPS) quan trọng đối với một doanh nghiệp?,5,[x] Để theo dõi và xử lý hoạt động hàng ngày trong tất cả các phân khúc của tổ chức,[] Để quảng bá thương hiệu,[] Để tối ưu hóa chiến lược tiếp thị,[] Để thiết lập kế hoạch tài chính dài hạn
110,Lợi thế của hệ thống ERP là gì?,5,[x] Tất cả đáp án còn lại,"[ ] Loại bỏ các hệ thống cũ tốn kém, không linh hoạt",[ ] Tăng quyền truy cập vào dữ liệu để ra quyết định hoạt động,[ ] Cải thiện quy trình làm việc
111,Thứ tự phát triển của hệ thống ERP,5,"[x] Inventory Control, MRP, MRPII, ERP, ERPII","[ ] Inventory Control, ERP, ERPII, MRP, MRPII","[ ] MRP, MRPII, Inventory Control,  ERP, ERPII","[ ] MRP, MRPII, ERP, ERPII"
112,CRM là từ viết tắt của:,5,[x] Customer relationship management,[ ] Customer resource management,[ ] Customer relationship manager,[ ] Client relationship management
113,Sự khác biệt giữa TPS và MIS được thể hiện ở,5,[]cho biêt sự khác biệt giữa 2 loại dựa trên loại người dùng,"[]Các tài liệu do hệ thống xử lý giao dịch và hệ thống thông tin quản
lý tạo ra khác nhau",[]Các hoạt động do TPS thực hiện khác với MIS,[x] Tất cả các đáp án trên
114,TPS xử lý dữ liệu nào,5,[x]Dữ liệu thô,[]Dữ liệu từ MIS,[]Dữ liệu đã được tinh chính,[]Dữ liệu từ DSS
115,Đâu là ví dụ của xử lý theo lô trong TPS,5,[] Bán vé máy bay,[x]Trả lương nhân viên,[]THị trường chứng khoán,[] Đặt chỗ online
116,Đâu không phải chức năng của hệ thống xử lý giao dịch,5,[]Chức năng đầu vào,[]Chức năng đầu ra,[] Chức năng lưu trữ,[x] Chức năng thống kê
117,"Trong các khái niệm có liên quan tới hệ thống thông tin quản lý, MIS là viết tắt của cụm từ",6,[x] Management Information System,[ ] Management Innovation System,[ ]  Management Information Statistics,[ ]  Management Information Software
118,Hệ thống thông tin quản lý (MIS) bao gồm,6,[x] Dữ liệu,[ ]Phần mềm,[x] Phần cứng,[ ]Cả 3 phương án trên
119,Xử lý giao dịch trực tuyến được viết tắt là?,6,[x] OLTP,[ ] OLAP,[ ]OLTS,[ ] OLTP
120,Điểm khác biệt giữa MRP và MRP II?:,6,[]MRP II tập trung vào quy trình sản xuất trong khi MRP không,[X] MRP II tích hợp toàn bộ hoạt động công ty trong khi MRP không,[]MRP tập trung vào kiểm soát nguồn cung trong khi MRP II không,[]Chỉ khác nhau về tên gọi
121,"Khái niệm nào sau đây là quá trình quản lý toàn bộ vòng đời của sản phẩm từ khi bắt đầu thông qua kỹ thuật , thiết kế và sản xuất cũng như dịch vụ và thải bỏ các sản phẩm được sản xuất?",6,[X]Product Lifecycle Management (PLM),[]Material Requirements Planning (MRP),[]Management Information System (MIS),[]Enterprise Resource Planning (ERP)
122,Phát biểu so sánh Material Requirements Planning (MRP) với Enterprise Resource Planning (ERP) nào sau đây là đúng?,6,[X]Hoạch định nguồn lực doanh nghiệp (ERP) là một phần mở rộng của hệ thống MRP.,"[X]MRP có thể là một ứng dụng độc lập hoặc một phần của ERP, một giải pháp giải quyết mọi nhu cầu kinh doanh",[]Hệ thống MRP là một phần mở rộng của hệ thống hoạch định nguồn lực doanh nghiệp (ERP),[]MRP bắt buộc là một phần của ERP
123,"MIS - Hệ thống thông tin quản lý là gì, hướng đến mục tiêu gì?",6,"[X]Mục tiêu của MIS là cung cấp thông tin cho việc ra quyết định lập kế hoạch, khởi xướng, tổ chức và kiểm soát hoạt động của các hệ thống con của công ty và tăng giá trị và lợi nhuận của doanh nghiệp.",[]MIS không có mục tiêu cuối cùng liên quan đến tăng giá trị và lợi nhuận của doanh nghiệp.,[]Mục tiêu của MIS là chủ yếu tập trung vào việc nghiên cứu về con người và quy trình trong môi trường doanh nghiệp.,"[]MIS tập trung chủ yếu vào việc thu thập và lưu trữ dữ liệu, không liên quan đến quá trình ra quyết định quản lý."
124,Đầu vào của Hệ thống thông tin quản lý - MIS không bao gồm?,6,[X]Báo cáo theo lịch trinh - Scheduled reports,[]Kế hoạch chiến lược hoặc chính sách doanh nghiệp,"[]Từ hệ thống xử lý giao dịch (TPS) như: bảng lương, kiểm soát hàng tồn kho, xử lý đơn hàng, các khoản phải trả, các khoản phải thu, sổ cái chung.","[]Nguồn bên ngoài như báo cáo thường niên, báo cáo tài chính của đối thủ cạnh tranh"
125,Material Requirements Planning (MRP) là gì?,6,[X]Một phương pháp quản lý tồn kho và kế hoạch sản xuất để đảm bảo đủ vật liệu sẵn có khi cần thiết.,[]Một thuật ngữ chủ yếu liên quan đến Marketing và Research Planning trong lĩnh vực quảng cáo.,[]Chỉ liên quan đến quá trình tiếp thị và quảng bá sản phẩm cho thị trường.,"[X]Giúp các doanh nghiệp và nhà sản xuất xác định những gì cần thiết, cần bao nhiêu và khi nào cần nguyên liệu và hoạt động ngược lại với kế hoạch sản xuất thành phẩm.
"
126,"Trong hệ thống thông tin quản lý (MIS), khái niệm ""Data Mining"" là gì?",6,[x]Phân tích dữ liệu để khám phá mô hình và thông tin tiềm ẩn,[]Quá trình tự động hóa các công việc lặp đi lặp lại,[]Sử dụng mã hóa để bảo vệ thông tin,[]Tích hợp các hệ thống thông tin khác nhau lại với nhau
127,"Khái niệm ""ERP"" (Enterprise Resource Planning) trong hệ thống thông tin quản lý đề cập đến việc gì?",6,[x]Quản lý và tích hợp các tài nguyên của doanh nghiệp,[]Quản lý dự án và lịch trình công việc,[]Phân tích dữ liệu để tạo ra báo cáo,[]Tích hợp các thiết bị điện tử vào hệ thống
128,Thuật ngữ nào sau đây không phải là một trong các thành phần chính của hệ thống thông tin quản lý (MIS)?,6,[x]Algorithms,[]Databases,[]Networks,[]Hardware
129,"Trong việc triển khai hệ thống thông tin quản lý (MIS), khái niệm ""Legacy System"" đề cập đến điều gì?",6,"[x]Hệ thống cũ, thường có tuổi đời lâu, khó cập nhật hoặc tích hợp",[]Hệ thống phần mềm mới được phát triển,[]Hệ thống chuyên dụng cho việc quản lý tài nguyên nhân sự,[]Hệ thống tương tác xã hội và kinh doanh trực tuyến
130,"Khái niệm ""SCM"" (Supply Chain Management) trong hệ thống thông tin quản lý đề cập đến việc gì?",6,[x]Quản lý chuỗi cung ứng và tối ưu hóa quy trình,[]Quản lý dữ liệu của các hệ thống thông tin,[]Quản lý hệ thống máy chủ và mạng,[]Quản lý các quy trình sản xuất và bán hàng
131,Điểm khác biệt chính giữa quản lý thông tin (IM - Information Management) và thông tin quản lý (MI - Management Information) là:,6,"[x] Quản lý thông tin là việc thu thập và quản lý thông tin từ nhiều nguồn khác nhau trong khi đó, thông tin quản lý là các dữ liệu được các nhà quản lý tổ chức và sử dụng để đưa ra quyết định về cách điều hành tổ chức của họ","[x] Quản lý thông tin đặt trọng tâm vào việc nắm bắt, bảo tồn, lưu trữ và cung cấp thông tin cho đúng người vào đúng thời điểm, trong khi đó thông tin quản lý đặt trọng tâm vào việc lưu trữ, truy xuất, phân tích các dữ liệu khách hàng, nhân viên, tài chính và sản xuất","[] Thông tin quản lý là việc thu thập và quản lý thông tin từ nhiều nguồn khác nhau trong khi đó, quản lý thông tin là các dữ liệu được các nhà quản lý tổ chức và sử dụng để đưa ra quyết định về cách điều hành tổ chức của họ","[] Thông tin quản lý đặt trọng tâm vào việc nắm bắt, bảo tồn, lưu trữ và cung cấp thông tin cho đúng người vào đúng thời điểm, trong khi đó quản lý thông tin đặt trọng tâm vào việc lưu trữ, truy xuất, phân tích các dữ liệu khách hàng, nhân viên, tài chính và sản xuất"
132,Đâu không phải là thành phần chính của hệ thống thông tin quản lí (MIS)?,6,[x] Quy trình sản xuất,[] Phần mềm,[] Con người,[] Dữ liệu
133,Đâu là một nguồn đầu vào cho hệ thống thông tin quản lí (MIS)?,6,[x] TPS,[] DSS,[] CRM,[] BIS
134,Lập kế hoạch nguồn lực sản xuất là nhiệm vụ của hệ thống nào sau đây?,6,[x] MRP II,[] MRP,[] IC,[] CRM
135,PLM là viết tắt của?,6,[x] Product Lifecycle Management,[] Processing Lifecycle Management,[] Project Lifecycle Management,[]Policy and Legal Management
136,Đâu không phải nghiệp vụ về kiểm soát hàng tồn trong quản lí kho?,6,[x] Quản lí vận chuyển hàng đến kho,[] Tích hợp mã vạch khi nhập kho,[] Chi tiết vị trí sản phẩm trong kho,[] Báo cáo điều chỉnh
137,Một hệ thống thông tin quản lý (MIS) được tạo thành từ mấy thành phần chính? Cụ thể các thành phần đó là gì?,6,"[]4 thành phần: con người, quy trình kinh doanh, dữ liệu, cơ sở hạ tầng","[]5 thành phần: con người, quy trình sản xuất, dữ liệu, phần cứng, phần mềm","[]4 thành phần: con người, dữ liệu, phần cứng, phần mềm","[x]5 thành phần: con người, quy trình kinh doanh, dữ liệu, phần cứng, phần mềm"
138,MRP II là viết tắt của?,6,[] Material Resource Planning,[] Material Requirements Planning,[x] Manufactoring Resource Planning,[] Manufactoring Requirements Planning
139,MIS là viết tắt của?,6,"[x] Management Information 
System","[] Marketing Information 
System","[] Multimedia Integration
 System","[] Manufacturing Information 
Software"
140,Phát biểu nào sai về thông tin quản lý?,6,"[] dữ liệu được các nhà quản lý tổ chức và 
sử dụng để đưa ra quyết định về cách điều hành tổ chức của 
họ","[] có thể bao gồm dữ liệu về khách hàng, nhà cung 
cấp, nhân viên, tài chính và sản xuất","[] Hệ thống thông tin quản lý là hệ thống phần mềm và phần cứng được sử dụng để lưu trữ, truy xuất và phân tích dữ liệu này",[x] Thông tin quản lý phải đảm bảo có đầy đủ 4 yếu tố
141,Đâu là không phải lĩnh vực chính của PLM,6,"[] Kỹ thuật hệ thống (SE) đáp ứng yêu cầu khách hàng và điều 
phối quy trình thiết kế hệ thống đến các lĩnh vực liên quan. ","[] Quản lý sản phẩm và danh mục đầu tư (PPM) quản lý phân 
bổ nguồn lực, theo dõi tiến độ, lập kế hoạch cho các dự án 
phát triển sản phẩm mới đang được xử lý","[x] Sản xuất sản phẩm (CAx) là quá trình tạo ra một sản phẩm 
mới cho khách hàng của mình.","[] Quản lý dữ liệu sản phẩm (PDM) thu thập và duy trì thông tin 
về sản phẩm, dịch vụ trong quá trình phát triển và sử dụng"
142,Những thành phần chính của một hệ thống thông tin quản lý,6,"[]là các lĩnh vực quản lý, dữ liệu, thủ tục xử lý (mô hình) và các quy tắc quản lý.","[x]là con người, quy trình kinh doanh, dữ liệu, phần cứng và phần mềm.","[]là quy trình kinh doanh, tài nguyên, nhân lực, phần cứng và phần mềm.","[]là các hệ thống dữ liệu, các quy tắc quản lý, kế hoạch và quy trình sản xuất."
143,Tại sao cần MIS? (chọn đáp án sai),6,[]MIS cho phép dễ dàng truy cập và kiểm soát trong việc làm chủ phân phối của nó.,"[]MIS là tài sản của công ty là hệ thống có giá trị cao, có tỷ lệ phản hồi cao và tập trung vào người dùng từ mọi khía cạnh.",[x]MIS có thể giải quyết các vấn đề quan trọng và nó là giải pháp cho tất cả các vấn đề của một tổ chức.,"[]Do các hệ thống khác nhau phục vụ các nhóm người dùng khác nhau với mức độ chi tiết, khả năng xử lý và đầu ra khác nhau."
144,ISM có phạm vi công việc rộng hơn hay hẹp hơn so với MIS?,6,[x]Rộng hơn,[]Hẹp hơn,[]Bằng nhau,[]Phụ thuộc vào ngữ cảnh sử dụng
145,PLM quản lý toàn bộ vòng đời của sản phẩm từ khi nào?,6,[] Từ khi sản phẩm được bán đầu tiên đến khi nó hết hàng,[] Từ khi sản phẩm được sản xuất đến khi nó bị hỏng,[x] Từ khi sản phẩm bắt đầu đến khi nó được thải bỏ,[] Từ khi sản phẩm được nghĩ ra đến khi nó được thiết kế
146,Mục đích chính của CRM trong quan hệ với khách hàng?,6,[] Tăng lợi nhuận ngắn hạn,[] Quản lý tương tác với khách hàng,[] Chỉ tập trung vào tiếp thị,[] Giảm chi phí sản xuất
147,Đâu không phải một cách phân nhóm theo công dụng của MIS?,6,[x] Giúp đánh giá vấn đề,[] Giúp ra quyết định,"[] Giúp phối hợp giữa các
 Bộ phận",[] Giúp so sánh hiệu quả kinh doanh
148,Nhược điểm của ERP?,6,[] Giảm quyền truy cập vào dữ liệu,"[] Không thể loại bỏ các hệ thống cũ tốn kém, không linh hoạt",[] Cơ sở hạ tầng công nghệ khó nâng cấp,[x] Khó thực hiện thay đổi
149,"Trong các lĩnh vực chính của quản lý vòng đời sản phẩm (PLM), kỹ thuật hệ thống (SE) được mô tả như thế nào?",6,[] Là quá trình tạo ra một sản phẩm mới cho khách hàng của mình,[x] Đáp ứng yêu cầu khác hàng và điều phối quy trình thiết kế hệ thống đến các lĩnh vực liên quan,"[] Quản lý phân bố nguồn lựuc, theo dõi tiến độ, lập kế hoạch cho các dự án phát triển sản phẩm mới đang được xử lý","[] Thu thập và duy trì thông tin về sản phẩm, dịch vụ trong quá trình phát triển và sử dụng"
150,Đâu không là thành phần của hệ thống quản lý thông tin (MIS),6,[] Con người,[] Quy trình kinh doanh,[] Dữ liệu,[x] Quy trình nghiệp vụ
151,Đâu không phải là công dụng của MIS?,6,[x] Giúp tăng cường bảo mật thông tin,[] Giúp phối hợp giữa các bộ phận,[] Giúp so sánh hiệu quả kinh doanh,[] Giúp tìm ra giải pháp của vấn đề
152,Inventory control là gì,6,[x]quá trình kiểm soát lượng hàng tồn kho,[]Quá trình sản xuất,[]quá trình quản lý nhân sự,[]quá trính bán hàng
153,MRP là viết tắt của,6,[x]Material Requirement Planning,[]Meterial Resources Planning,[]Manufacturing Resources Planning,[]Meterial Requirement Planning
154,Đâu không phải là 1 Information Systems,6,[x]CPS,[]TPS,[]MIS,[]DSS
155,Mục tiêu chính của MIS là gì,6,[x]Cung cấp thông tin để hỗ trợ quyết định,[]Giảm chi phí nhân sự,[]Tăng cường mối quan hệ khách hàng,[]Tối ưu hóa lợi nhuận ngắn hạn
156,MIS nằm ở mức độ nào,6,[x]Middle level management,[]Top level management,[]Low level management,[]High level management
157,"Khi phân loại phần mềm Quản lý nhân sự theo hình thức mua bán, đâu là hình thức không chính xác?",6,[x] Phần mềm trong nước,[ ] Phần mềm viết theo yêu cầu,[ ] Phần mềm đóng gói,[ ] Phần mềm nước ngoài
158,Module quan trọng nhất của Production Planning và được coi là xương sống của quy trình sản xuất ?,6,[x] Material Requirement Planning,[ ] Warehourse management,[ ] Human Resource Planning,[ ] Production Control
159,Đâu không phải là thành phần của MIS,6,[X] Sản phẩm,[ ] Con người,[ ] Data,[ ] Phần mềm
160,Đâu không phải một nhóm được chia theo công dụng của MIS,6,[X] Giúp giải quyết vấn đề,[ ] Giúp ra quyết định:,[ ] Giúp tìm ra vấn đề:,[ ] Giúp so sánh hiệu quả kinh doanh:
161,Đâu không phải một loại hệ thống quản lý thông tin khi được chia theo nghiệp vụ,6,[X] Hệ thống quản lý bán hàng,[ ] Hệ thống quản lý bán hàng,[ ] Hệ thống quản lý bán hàng,[ ]  Hệ thống quản lý nguồn nhân lực
162,Tam giác trí thức DIKW Hierarchy là gì?,7,"[X]DIKW Hierarchy là một khái niệm biểu thị mối quan hệ giữa Dữ liệu (Data), Thông tin (Information), Kiến thức (Knowledge), và Weisheit (Weisheit).",[]DIKW Hierarchy là một mô hình thiết kế web phổ biến.,"[]DIKW Hierarchy là viết tắt của ""Data, Insight, Knowledge, Wisdom,"" mô tả một mô hình lên xuống từ sự hiểu biết cơ bản đến sự hiểu biết cao cấp.","[]DIKW Hierarchy là viết tắt của ""Digital Information and Knowledge Workers,"" mô tả một nhóm người làm việc chủ yếu với dữ liệu và thông tin kỹ thuật số."
163,Thành phần của hệ thống Decision Support Systems có thể bao gồm:,7,[X]Hệ thống quản lý dữ liệu gồm Cơ sở dữ liệu và Hệ quản trị CSDL (DBMS),[X]Hệ thống quản lý cơ sở kiến thức KMS - Knowledge Base Management Subsystems,[]Hệ thống quản lý vận chuyển (TMS - Transportation Management System),[]Hệ thống quản lý nhân sự (HRMS - Human Resource Management System)
164,Decision Support Systems - DSS không bao gồm:,7,[X]DSS theo hướng kinh doanh,[]DSS hướng giao tiếp,[]DSS hướng tri thức,[]DSS hướng tài liệu
165,"Theo phân loại quyết định, đâu là quyết định phi cấu trúc?",7,[x] Quyết định các mục tiêu của công ty,[] Phân bổ nguồn lực cho các nhà quản lí,[] Xây dựng kế hoạch marketing,[] Xác định ưu đãi đặc biệt cho khách hàng
166,Đâu là nhược điểm của hệ thống hỗ trợ điều hành (ESS)?,7,[x] Chi phí thực hiện cao,[] Lợi ích mang lại thấp,[] Không thích hợp cho các công ty lớn,[] Không quan tâm đến quy trình nội bộ
167,Đâu không phải chức năng phổ biến của Business intelligence?,7,[x] Quản lí quy trình sản xuất,[] Báo cáo,[] Khai thác văn bản,[] Xử lí sự kiện phức tạp
168,Đâu không phải công cụ của Business Intelligence?,7,[x] Database backup,[] OSAP,[] Visualization,[] Data mining
169,"Mô hình DSS nào giúp các công ty lưu, quản lí, phân tích dữ liệu?",7,[x] DSS hướng dữ liệu,[] DSS dựa trên mô hình,[] DSS hướng tài liệu,[] DSS hướng tri thức
170,Hệ thống DSS được sử dụng hỗ trợ trong việc ra những quyết định ở mức độ nào?,7,[] Mức độ chiến lược,[] Mức độ chiến thuật,[] Mức độ chiến lược và chiến thuật,"[x] Mức độ chiến lược, chiến thuật và vận hành"
171,Quyết định nào được mô tả là quyết định bán cấu trúc,7,[x] Xây dựng kế hoạch marketing,"[] xác định ưu đãi đặc biệt
 cho khách hàng","[] Quyết định các mục tiêu
 của công ty",[] Phê duyệt ngân sách vốn
172,"Đâu là thứ tự đúng từ dưới lên trong các mức độ của tam giác tri thức
 DIKW Hierarchy",7,"[x] Data → Information 
→ Knowledge → Wisdom","[] Data → Knowledge 
→ Information → Wisdom","[] Data → Knowledge 
→ Wisdom → Information ","[] Data → Information
→ Wisdom → Knowledge "
173,Điều nào sau đây là không đúng về DSS,7,"[]  Hỗ trợ giải quyết vấn đề phức
 tạp","[] Phản ứng nhanh với các 
tình huống bất ngờ dẫn 
đến điều kiện thay đổi",[x] Chủ yếu giải quyết các vấn đề có cấu trúc,[] Hỗ trợ các vấn đề bán cấu trúc và phi cấu trúc
174,Đâu không phải là tính chất của hệ thống ESS/EIS,7,[] Dễ sử dụng,[x] Chi phí thực hiện thấp,"[] Phù hợp với các giám
 đốc điều hành cá nhân",[]  Giúp đỡ với các tình huống có mức độ không chắc chắn cao
175,Hệ thống BI chủ yếu tập trung vào:,7,"[] Xây dựng cơ sở dữ liệu cụ thể
 để giải quyết vấn đề.","[] Cải thiện mối quan hệ 
khách hàng và đối tác",[] Tăng doanh thu,"[x] Phân tích và báo cáo trên 
dữ liệu được lưu trữ trong 
kho dữ liệu"
176,Hệ thống hỗ trợ ra quyết định viết tắt là gì?,7,[x]DSS,[]EIS,[]ESS,[]BIS
177,Điều nào sau đây là đúng về Hệ thống hỗ trợ ra quyết định DSS?,7,[]Đưa ra quyết định thay cho người ra quyết định,"[x]Hỗ trợ cho hoạt động ra 
quyết định","[]Thực hiện các quyết định 
","[]Đưa ra các quyết định chính 
xác tuyệt đối"
178,Quyết định nào được mô tả là quyết định có cấu trúc,7," [x]Xác định ưu đãi đặc biệt
 cho khách hàng",[]Xây dựng kế hoạch marketing,"[]Quyết định các mục tiêu
 của công ty",[] Phê duyệt ngân sách vốn
179,Quyết định nào được mô tả là quyết định có cấu trúc,7,[] Phân bổ nguồn lực cho các nhà quản lý,"[] Xác định ưu đãi đặc biệt 
cho khách hàng",[] Xây dựng kế hoạch marketing,[x]Phê duyệt ngân sách vốn
180,"Mô hình DSS nào giúp các công ty lưu, quản lý và phân tích tổ hợp dữ liệu
cả bên trong và bên ngoài công ty",7,[x]DSS hướng dữ liệu,[] DSS hướng tài liệu,[] DSS hướng tri thức,[] DSS hướng giao tiếp
181,Mô hình DSS nào giúp các công ty quản lý dữ liệu yêu cầu nhiều người cộng tác trong một nhiệm vụ,7,[] DSS hướng dữ liệu,[] DSS hướng tài liệu,[] DSS hướng tri thức,[x]DSS hướng giao tiếp
182,"Thông tin được nhập vào một mô hình ra quyết định, sau đó sẽ được sử
 dụng để phân tích các tình huống là mô tả mô hình DSS nào",7,[] DSS hướng dữ liệu,[] DSS hướng tài liệu,[x]DSS dựa trên mô hình,[] DSS hướng tri thức
183,Hệ thống hỗ trợ điều hành là,7,[x]ESS,[]DSS,[]BSS,[]BIS
184,BI là gì,7,[x]Kinh doanh thông minh,[]Bán hàng thông minh,[]Điều hành thông minh,[]Ra quyết định thông minh
185,"Trong BIS, khái niệm ""OLAP"" liên quan đến việc gì?",7,[]Phân tích sâu rộng vào chi tiết dữ liệu,[]Tìm kiếm thông tin từ nguồn bên ngoài,[]Phân tích độ nhạy của dữ liệu đối với quyết định,[x]Phân tích dữ liệu theo chiều đa chiều
186,Nghiệp vụ thông minh (BI) có thể được định nghĩa là các hệ thống kết hợp:,7,[] Thu thập dữ liệu,"[] Lưu trữ, phân tích dữ liệu","[] Quản lý, khai thác kiến thức",[x] Tất cả phương án trên
187,Đâu không phải là một mô hình cho DSS( hệ thống hỗ trợ quyết định),7,[] DSS hướng giao tiếp,[] DSS hướng tri thức,[x] DSS hướng nghiệp vụ,[] DSS hướng tài liệu
188,Đâu là nhược điểm của ESS?,7,[x] Tất cả các đáp án trên,[] Lợi ích khó định lượng,"[] Chức năng hạn chế, theo thiết kế",[] Chi phí thực hiện cao
189,Đâu không phải là lợi ích chính của DSS?,7,[x] Chi phí cao,[] Quyết định khách quan,[] Những hiểu biết học hỏi mới,[] Cải thiện kiểm soát quản lý và hiệu suất
190,Các chức năng phổ biến của Business Intelligence là,7,[x] Tất cả các phương án trên,[] Phân tích dự đoán,[] Xử lý sự kiện phức tạp,"[] Khai thác dữ liệu, quy trình"
191,Phân loại hệ thống thông tin theo cách cổ điển chia hệ thống thành những phần nào?,7,"[x] Operational Systems, Management Systems","[ ] Operational Systems, Executive Systems","[ ] Excecutive Systems, Manangement Systems","[ ] Operational Systems, Management Systems, Excecutive Systems"
192,Đâu là phát biểu đúng về khái niệm giao dịch( Transaction)?,7,"[x] Thường liên quan đến hai thực thể ( C2B, C2C, B2B...)","[x] Những thứ được trao đổi thường là tiền hay sản phẩm, trả về là tiền hay dịch vụ","[ ] Là các bước liên quan đến chuyển đổi nguyên liệu thành sản phẩm, cung cấp dịch vụ",[ ] Tất cả phương án trên đều đúng.
193,Các đặc điểm nào sau đây không phải của hệ thống xử lý theo lô (Batch proccesing),7,[x] Các giao dịch được xử lý ngay lập tức,[x] Các giao dịch được xử lý online,"[ ] Được ứng dụng nhiều trong giai đoạn các thiết bị, hạ tầng hạn chế",[ ] Các giao dịch kinh doanh được tích lũy trong một khoảng thời gian và được xử lý theo một đơn vị hay một lô duy nhất
194,Sắp xếp các mức độ ra quyết định từ thấp đến cao,7,"[x] Nhân viên cá nhân, Đội ngũ quản lý vận hành và dự án, Đội ngũ quản lý cấp trung và dự án, Quản lý cấp cao","[ ] Đội ngũ quản lý vận hành và dự án, Nhân viên cá nhân, Đội ngũ quản lý cấp trung và dự án, Quản lý cấp cao","[ ] Nhân viên cá nhân, Đội ngũ quản lý vận hành và dự án, Quản lý cấp cao, Đội ngũ quản lý cấp trung và dự án,","[ ] Đội ngũ quản lý vận hành và dự án, Đội ngũ quản lý cấp trung và dự án, Nhân viên cá nhân, Quản lý cấp cao"
195,Hệ thống hỗ trợ quyết định (DSS) được thiết kế để làm gì trong môi trường kinh doanh?,7,[x] Hỗ trợ người dùng trong việc ra quyết định thông minh,[ ] Tạo ra quyết định hoàn toàn tự động,[ ] Thay thế vai trò của nhà quản lý,[ ] Đưa ra dự đoán không chính xác
