STT,Câu hỏi,Chương,A,B,C,D
196,Các tính năng chính của DSS bao gồm điều gì?,7,"[x] Tính linh hoạt, phân tích dữ liệu và tương tác người dùng",[ ] Không cung cấp công cụ phân tích và đánh giá,[ ] Chỉ phục vụ một lĩnh vực cụ thể,[ ]Hỗ trợ chỉ quản lý cấp cao
197,DSS thường được sử dụng trong việc hỗ trợ quyết định ở đâu trong tổ chức?,7,[x] Cả ở cấp cao và cấp trung ương,[ ] Chỉ ở cấp dưới trong tổ chức,[ ] Chỉ ở cấp trung ương,[ ] Chỉ ở cấp cao trong tổ chức
198,Điều gì làm nên sức mạnh của hệ thống hỗ trợ quyết định (DSS)?,7,[x] Cung cấp thông tin chính xác và công cụ phân tích để hỗ trợ quyết định,[ ] Sự đơn giản và hạn chế,[ ] Tính tĩnh lặng không thay đổi,[ ] Không hỗ trợ người dùng trong quyết định chiến lược
199,Business Intelligence (BI) tập trung vào việc gì?,7,[x] Sử dụng dữ liệu để hỗ trợ quyết định kinh doanh,[ ] Kế hoạch marketing,[ ] Quản lý tài chính,[ ] Lập trình ứng dụng di động
200,Mục tiêu chính của Business Intelligence là gì?,7,[x] Hỗ trợ quyết định thông minh dựa trên dữ liệu,[ ] Quản lý tài chính cá nhân,[ ] Tạo ra dữ liệu mới,[ ] Phân tích kết cấu mô phỏng
201,Business Intelligence có thể giúp tổ chức như thế nào?,7,[x] Hỗ trợ tổ chức hiểu rõ về hoạt động của mình và ra quyết định thông minh dựa trên dữ liệu,[ ] Tạo ra các ứng dụng di động cho khách hàng,[ ] Chỉ hiển thị thông tin từ một nguồn duy nhất,[ ] Tạo ra lợi nhuận từng giây
202,Đâu là đặc điểm của hệ thống ERP?,8,[] Phân tích dữ liệu,[] Tích hợp quy trình nghiệp vụ,[] Tự đông hóa,[x] Cả 3 đáp án trên
203,Kể tên (những) nghề nghiệp sử dụng ERP?,8,[x] Kiến trúc sư dữ liệu,"[x] Nhà phân tích 
kinh doanh","[x] Quản trị viên cơ
 sở dữ liệu","[] Nhà phân tích thiết 
kế hệ thống"
204,Hệ thống ERP sử dụng cơ sở dữ liệu chung nhằm mục đích gì?,8,[x] Tạo ra cái nhìn nhất quán và đa chức năng về công ty.,[] Tăng sự đa dạng của dữ liệu.,[] Giảm hiệu suất người dùng.,[] Hạn chế sự tích hợp giữa các phòng ban.
205,Tính năng quan trọng của hệ thống ERP liên quan đến nhân sự là gì?,8,[x] Tự động hóa các quy trình nghiệp vụ.,[] Giảm tương tác giữa người dùng và hệ thống.,[] Tạo ra cái nhìn nhất quán về công ty.,[] Hỗ trợ quản lý chuỗi cung ứng.
206,Đặc điểm nào của hệ thống ERP giúp người dùng có thể nhanh chóng tìm và hiểu thông tin từ mọi góc của doanh nghiệp?,8,[x] UX/UI nhất quán,[] Cơ sở dữ liệu chung,[] Tích hợp quy trình nghiệp vụ,[] Tự động hóa
207,ERP là viết tắt của từ gì?,8,[ ] Enterprise Resource Platform,[x] Enterprise Resource Planning,[ ] Efficient Resource Processing,[ ] Essential Resource Program
208,Lợi ích của ERP,8,[ ] Cho phép ERP thay thế nhiều hệ thống khác nhau hiện có trong DN,[ ] Tăng luồng thông tin chạy trong tổ chức/doanh nhiệp,"[ ] Tăng khả năng kết hợp kiểm soát quản lý tốt hơn, ra quyết định nhanh
hơn và giảm chi phí",[X] Tất cả các phương án trên
209,Các công nghệ nào có thể tích hợp vào ERP để gia tăng trải nghiệm và giảm tải công việc,8,[ ] AI,[ ] Blockchain,[ ] IOT,[X] Tất cả các phương án trên
210,Đâu không phải ứng dụng của IOT trong ERP,8,[ ] Thu thập dữ liệu,[ ] Tăng cường quản lý chuỗi cung ứng,[X] Phán đoán xu hướng,[ ] Cải thiện khả năng hiển thị
211,Đâu không phải ứng dụng của Blockchain trong ERP,8,[ ] Bảo mật nâng cao,[X] Xác thực người dùng,[ ] Truy xuất nguồn gốc chuỗi cung ứng,[ ] Hợp đồng thông minh
212,Đâu không phải ứng dụng của Blockchain trong ERP,8,[ ] Phân tích dữ liệu nâng cao,[ ] Khả năng dự đoán,[ ] Cải thiện trải nghiệm người dùng,[X] Thay con người đưa ra quyết định phức tạp
213,Những phát hiện chính về thị trường ERP,8,[X] Bão hòa và tập trung,[ ] Phân tán và sơ khai,[ ] Sơ khai và tập trung,[ ] Bão hoà và phân tán
214,Đâu không phải là 1 trong 5 nhà cung cấp lớn giải pháp ERP,8,[ ] Oracle,[ ] JDEdwards,[ ] PeopleSoft,[X] MicroSoft
215,Nhược điểm của SAP,8,[X]Công ty yêu cầu phải ký hợp đồng để sử dụng phần mềm SAP và công ty đó giữ các công ty đó với nhà cung cấp cho đến khi hết hạn hợp đồng.,[X] Nó không linh hoạt vì đôi khi gói của nhà cung cấp không phù hợp với mô hình kinh doanh của công ty.,[X] Để thực hiện và sử dụng SAP có thể rất tốn kém. Điều này không an toàn vì có nguy cơ thất bại dự án.,"[ ] Tốn thời gian đào tạo, sử dụng hệ thống"
216,Quản lý quy trình kinh doanh (BPM) là gì?,9,"[x]Mô hình hóa, tối ưu hóa, đo lường và điều phối tất cả các quy trình trong một tổ chức",[ ]Mô hình hóa và tối ưu hóa quy trình trong một tổ chức,[ ]Điều phối tất cả các quy trình kinh doanh,[ ]Cung cấp cho doanh nghiệp khả năng kiểm soát các quy trình của họ
217,Mục đích chính của việc tiêu chuẩn hóa quy trình là gì?,9,[x]Giúp thực thi các yêu cầu bảo mật hơn,[ ]Tăng cường sự phức tạp của quy trình,[ ]Gây khó khăn cho nhóm CNTT,[ ]Tăng cường sự lỗi lạc của quy trình
218,Đâu không phải là một thành phần trong BPM lifecycle,9,[] Process discovery,[] Process analysis,[] Process redesign,[x] Process maintain
219,Phát biểu không đúng về quy trình hoạt động,9,[] Có nhiều quy trình tổ chức đóng góp vào quy trình tổ chức,[x] Quy trình hoạt động được chỉ định bởi các mô hình thiết kế,[] Quy trình hoạt động là cơ sở để phát triển các quy trình được thực hiện,[] Các quy trình được thực hiện chứa thông tin về việc thực hiện các hoạt động quy trình
220,Quy trình nghiệp vụ là?,9,[] Là các gọi khác của quá trình viết code,[x] Là một hoạt động hoặc tập hợp các hoạt động nhằm hoàn thành một mục tiêu cụ thể của tổ chức,[] Là quy trình tuyền dụng của doanh nghiệp,[] Là quy trình kiểm thử
221,Mục tiêu chính của quy trình cải thiện thông qua BPM là gì?,9,[x] Cải thiện chất lượng quy trình,[] Tăng cường sự phức tạp của quy trình,[] Giảm sự linh hoạt trong hoạt động kinh doanh,[] Tăng cường sự không chắc chắn
222,Đâu không phải là một bước của BPM,9,[x] Kiểm thử,[] Phân tích,"[] Thực hiện , cải tiến",[] Tối ưu hóa quy trình
223,Các thành phần của quản lý quy trình kinh doanh (BPM) là?,9,[] Phân tích quy trình,[] Con người,[] Công nghệ,[x] Tất cả các đáp án trên
224,"Một chuỗi các sự kiện, hoạt động và quyết định, liên quan đến một số tác nhân và đối tượng, được kích hoạt bởi một nhu cầu, và dẫn đến một kết quả có giá trị cho khách hàng là khái niệm của thuật ngữ nào?",9,[x] Quy trình nghiệp vụ (BP),[] Quản lý quy trình kinh doanh (BPM),[] Hệ thống quản lý kho (WMS),[] Hệ thống quản lý hàng tồn kho
225,Quy trình nào trong vòng đời BPM nhấn mạnh việc xác định và mô tả chi tiết các hoạt động và quy trình kinh doanh?,9,[x] Xác định,[ ] Thiết kế,[ ] Kiểm tra,[ ] Thực hiện
226,Giai đoạn nào trong vòng đời BPM tập trung vào việc theo dõi và đánh giá hiệu suất của các quy trình?,9,[x] Kiểm tra,[ ] Thiết kế,[ ] Xác định,[ ] Tối ưu hóa
227,"Mục tiêu chính của giai đoạn ""Optimization"" trong vòng đời BPM là gì?",9,[x] Cải thiện và tối ưu hóa quy trình,[ ] Xác định các quy trình,[ ] Thiết kế quy trình mới,[ ] Giám sát và đánh giá hiệu suất
228,Giai đoạn nào trong vòng đời BPM nhằm triển khai các quy trình đã được thiết kế?,9,[x] Thực hiện,[ ] Kiểm tra,[ ] Xác định,[ ] Tối ưu hóa
229,Đâu không phải nền tảng e-commerce,10,[x]Shopee,[]TIKI,[]Lazada,[]phimmoi.net
230,Thương mại điện tử là,10," [x]nơi diễn ra các giao dịch kinh
 doanh thông qua mạng viễn thông","[]Nơi diễn ra các giao dịch 
kinh doanh trực tiếp",[]Nơi mua bán,[]Nơi đấu giá
231,B2C là giao dịch giữa?,10,[]Doanh nghiệp với doanh nghiệp,[]Người tiêu dùng với người tiêu dùng,[x]Doanh nghiệp với người  tiêu dùng,[]Nhà nước với người tiêu dùng
232,Đâu không phải khía cạnh của thương mại điện tử,10,[]Sản phẩm được bán,[]Quá trình,[]Đại lý phân phối,[x]Trang chủ bán hàng
233,Đâu không phải  1 loại khung thương mại điện tử,10,[]SaaS,[]Open Source,[]Headless Commerce,[x]Shopify
234,Khung thương mại điện tử nào không thể tùy chỉnh,10,[x]SaaS,[]Open Source,[]Headless Commerce,[]Không có đáp án đúng
235,"Để tương tác với dữ liệu của cửa hàng trên Shopify, API nào được sử dụng phổ biến nhất?",10,[] REST API,[x] GRAPHQL API,[] SOAP API,[] JSON API
236,"Để thêm tính năng mới vào một cửa hàng Shopify, nơi tốt nhất để triển khai là:",10,[] Admin API,[x] Storefront API,[] Checkout API,[] Inventory API
237,"Để tạo một chủ đề (theme) tùy chỉnh cho Shopify, ngôn ngữ và cú pháp sử dụng chủ yếu là:",10,[x] Liquid,[] Sass,[] HTML,[] Typescript
238,"Trong Shopify, để điều chỉnh giao diện người dùng của cửa hàng, người dùng có thể tùy chỉnh trực tiếp thông qua:",10,[] Store settings,[x] Theme Editor,[] Code Editor,[] App Dashboard
239,"Để tương tác với các sự kiện trong cửa hàng Shopify, người phát triển có thể sử dụng:",10,[] Events,[] Callbacks,[] Triggers,[x] Webhooks
240,Các hệ thống sắp xếp theo thời gian phản hồi theo thứ tự từ nhanh đến lâu,10,[x] PLC - DCS - SCADA - MES - ERP,[ ] PLC - DCS - MES - SCADA - ERP,[ ] ERP - MES - SCADA - DCS - PLC,[ ] ERP - DCS - MES - PLC - SCADA
241,Đâu không phải là đặc điểm của hệ thống hỗ trợ ra quyết định (DSS)?,10,[x] DSS không thể giải quyết hiệu quả các vấn đề khó vì sự hạn chế của kiến thức,[ ] DSS thường sử dụng các mô hình,[ ] DSS tương đối dễ sử dụng,"[ ] DSS dẫn đến học tập, dẫn đến nhu cầu mới và sự tinh chỉnh của hệ thống"
242,Đâu là sự khác nhau giữa DSS và MIS,10,[x] Hệ thống DSS giải quyết các vấn đề bán cấu trúc và phi cấu trúc còn hệ thống MIS giải quyết vấn đề có cấu trúc,"[ ] Hệ thống MIS nhấn mạnh vào các mô hình giả định truy vấn đặc biệt đồ thị hiển thị trong khi DSS cung cấp các báo cáo thường cố định, theo lịch trình",[ ] Giống nhau chỉ các chức năng,[ ] Các phương án đều sai
243,Thương mại điện tử được viết tắt là gì,10,[X] EC,[ ] EV,[ ] ET,[ ] EN
244,Đâu không phải là ưu điểm của khung thương mại điện tử  SaaS,10,[X] SaaS giúp bạn có thể tùy ý tùy chỉnh,"[ ] Tổng chi phí sở hữu thường thấp hơn nhiều so với các khung thương mại
nguồn mở hoặc không có đầu người.",[ ] SaaS có thể giúp bạn tiếp cận thị trường một cách nhanh chóng.,"[ ] Nhà cung cấp có thể đưa ra các bản nâng cấp tính năng theo thời gian thực khi
họ tiếp tục cải tiến phần mềm theo thời gian."
245,"Đâu không phải là một mối quan hệ giữa thương mại điện tử và
kinh doanh điện tử",10,[X] Kinh doanh điện tử là một phần trong thương mại điện tử,[ ] Thương mại điện tử ngang bằng với kinh doanh điện tử,[ ] Thương mại điện tử là một phần trong kinh doanh điện tử,[ ] Thương mại điện tử và kinh doanh điện tử có những phần giống nhau
246,Đâu là ý sai về EC,10,[X] Thương mại điện tử mô tả việc mua và bán các sản phẩm trực tiếp,"[ ] Thương mại điện tử (EC) là nơi diễn ra các giao dịch kinh doanh thông
qua mạng viễn thông, đặc biệt là Internet.","[ ] Thương mại điện tử mô tả việc mua và bán các sản phẩm, dịch vụ và
thông tin thông qua mạng máy tính bao gồm cả Internet.","[ ] Cơ sở hạ tầng cho EC là một môi trường máy tính nối mạng trong kinh
doanh, nhà dânvà chính phủ."
247,Đâu không phải là một loại EC,10,[X] Người tiêu dùng tới doanh nghiệp (C2B) : người tiêu dùng bán cho doanh nghiệp,"[ ] Doanh nghiệp với người tiêu dùng (B 2 C): Mô hình EC trong đó các
doanh nghiệp bán cho người mua sắm cá nhân","[ ]  Doanh nghiệp với doanh nghiệp (B
2 B): Mô hình EC trong đó tất cả
những người tham gia là doanh nghiệp hoặc tổ chức khác","[ ] Người tiêu dùng với người tiêu dùng (C 2 C): người tiêu dùng bán trực
tiếp cho người tiêu dùng khác"
248,Lợi ích của thương mại điện tử (EC) với doanh nghiệp kinh doanh,10,[X] Mở rộng thị trường ra thị trường trong nước và quốc tế,"[X] Giảm chi phí tạo, xử lý, phân phối, lưu trữ và truy xuất thông tin trên giấy",[ ] Giảm kích thước kho lưu trữ,"[X] Giảm thời gian giữa chi phí vốn và việc nhận sản phẩm và dịch vụ
"
249,Đâu không phải là Phân loại EC theo bản chất của giao dịch,10,[ ] B2B,[ ] B2C,[ ] C2C,[X] C2B
250,Các khía cạnh của thương mại điện tử,10,[X] Sản phẩm,[ ] Con người,[X] Quá trình,[X] đại lý phân phối
251,Nhược điểm của Khung thương mại điện tử SaaS,10,[ ] Chi phí duy trì cao,[X] Không thể tùy chỉnh,[ ] Bảo mật kém,[ ] Cạnh tranh cao
252,Nhược điểm của  Khung thương mại điện tử nguồn mở.,10,[X] Phụ thuộc vào nhà phát triển,"[X] Chịu trách nhiệm cài đặt các bản cập nhật phần mềm và bản vá
bảo mật.",[ ] Không thể tuỳ chỉnh,[ ] Chi phí bản quyền lớn
253,Ưu điểm của Headless Commerce,10,[X] Có thể linh hoạt sử dụng giao diện,[X] Có thể sử dụng back-end hỗ trợ nhiều trang web.,[X] Backend và FrontEnd có thể phát triển mà không gây rủi ro cho nhau,[ ] Thời gian phát triển ngắn
254,Các yếu tố cấu thành nên E-business,10,[ ] Thương mại điện tử bên mua,[ ] Thương mại điện tử phía bán,[ ] Sử dụng nội bộ truyền thông điện tử để hỗ trợ các quy trình kinh doanh.,[X] Tất cả phương án trên đều đúng.
255,Thứ tự sắp xếp của 4 giai đoạn chuyển đổi số,10,[X] Brochureware -> e-Commerce -> e-Business -> E-enterprise,[ ] e-Commerce -> e-Business -> E-enterprise -> Brochureware,[ ] Brochureware -> e-Commerce  -> E-enterprise -> e-Business,[ ] e-Commerce -> e-Business -> Brochureware ->  E-enterprise
256,Đâu không phải là Thành phần trong Doanh nghiệp điện tử,10,[ ] Hồ sơ và Cá nhân hóa,[ ] Quản lý tìm kiếm,[ ] Quản lý Dòng công việc,[X] Quản lý dòng tiền
257,Quy trình thanh toán điện tử trong Doanh nghiệp điện tử bao gồm,10,[X] Quy trình thanh toán điện tử,[X] Chuyển tiền điện tử,[ ]Quy trình thanh toán trực tiếp,[ ] Quy trình thanh toán khi nhận hàng
258,Cách thức bảo mật thanh toán điện tử trong Doanh nghiệp điện tử,10,[X] Mã hóa dữ liệu giữa khách hàng và người bán,[X] Mã hóa dữ liệu giữa khách hàng và tổ chức tài chính,[X] Lấy thông tin nhạy cảm ngoài đường dây,[ ] Lưu dữ liệu mà không mã hoá
259,Các yếu tố thành công thương mại điện tử,10,[X] Lựa chọn và giá trị,[X] Quảng cáo và ưu đãi,[ ] Tốn ít thời gian phát triển,[ ] Dễ chuyển đổi
260,Các thành phần chính của CRM bao gồm?,11,"[] Dữ liệu, Quy trình, Công nghệ, Con người","[x] Thông tin, Quy trình, Công nghệ, Con người","[] Thông tin, Quy trình, Công nghệ, Khách hàng","[] Dữ liệu, Quy trình, Công nghệ, Khách hàng"
261,Phần mềm nào sau đây không tập trung quản lý dữ liệu khách hàng?,11,[] CDP,[] DMP,[x] ECS,[] CRM
262,Data Management Platforms (DMP) tập trung giao tiếp với đối tượng nào?,11,[x] Khách hàng không xác định,[] Khách hàng đã biết,[] Quản lý cấp cao,[] Quản lý cấp trung
263,Đâu không phải một thành phần chính của CRM,11,[x] Chiến lược,[] Quy trình,[] Công nghệ,[] Con người
264,Lợi ích của CRM,11,[] Giảm thời gian xử lý lỗi trong giai đoạn maintain,[x] Hiểu rõ hơn về các hoạt động và đơn vị kinh doanh tạo ra giá trị,[] Tăng cường sự chú ý đến khách hàng bằng các quy trình tương tác với khách hàng,[] Dịch vụ tốt hơn bằng cách tập trung vào chăm sóc khách hàng
265,DMP là gì,11,[] Dependent Manifest Platform,[] Destination Management Platform,[x] Data Management Platform,[] Direction Multiple Platform
266,Lợi ích của DMP,11,[] Giúp quản lý công việc của doanh nghiệp,[] Tăng hiệu suất của quá trình kiểm thử,[] Đưa ra một quy trình thống nhất trong quá trình phát triển sản phẩm,[] Tạo ra kết quả liên tục
267,Đâu là nguyên liệu chính cho CRM,11,[x]THông tin,[]Quy trình,[]Công nghệ,[]Con người
268,Ưu diểm của CDP so với CRM,11,[x]Xử lý được nhiều loại dữ liệu,[]Tiết kiệm chi phí,[]Tiếp cận dễ hơn,
269,CDP là viết tắt của ?,11,[x] Customer Data Platforms,[] Custormer Detail Platform,[] Center Data Platform,[] Center Detail Platform
270,Chọn phát biểu đúng về CRM,11,[x] Yêu cầu bảo trì thủ công và không dễ dàng mở rộng cho cá nhân hoá nội dung.,"[] Mục đích sử dụng chính là dữ liệu của bên thứ nhất, dựa trên danh tính khách hàng thực như PII",[] Sử dụng chính vào việc tổng hợp và tổ chức dữ liệu của bên thứ 2 và thứ 3 thứ 1,[] Không đáp án nào đúng
271,Đâu không phải là giải pháp của CRM?,11,[x] Bảo mật thông tin,[] Tự động hóa lực lượng khách hàng,[] Hỗ trợ khách hàng,[] Cộng tác
272,Đâu không phải là thành phần tĩnh cầu thành chiến lược CNTT?,11,[x] Operating Structure,[ ] Staffing And Roles,[ ] IT Function Structure,[ ] Operating Model
273,Chọn phát biểu không đúng về KDD (Knowledge discovery in databases),11,"[x] Qúa trình tìm kiếm, lấy ra  thông tin hoặc mối quan hệ đã biết trong các cơ sở dữ liệu lớn","[ ] Bao gồm các nhiệm vụ : khai thác kiến thức, thăm dò dữ liệu, xử lý mẫu dữ liệu","[ ] Là một quá trình được sử dụng để tìm kiếm, trích xuất thông tin hữu ích từ khối lượng tài liệu, dữ liệu","[ ] Một quá trình bao gồm việc chuẩn bị dữ liệu và lựa chọn, làm sạch dữ liệu, kết hợp kiến ​​thức trước khi vào tập hợp dữ liệu và giải thích các giải pháp chính xác từ các kết quả quan sát được."
274,Đâu là mục tiêu chính của AIS?,11,[x] Làm cho máy móc thông minh hơn,[ ] Hiểu trí thông minh là gì,[ ] Làm cho máy móc hữu ích hơn,[ ] Làm cho giải pháp thông minh hơn
275,Đâu không phải là một loại khung thương mại điện tử,11,[X]  BaaS,[ ] SaaS.,[ ] Open source.,[ ] Headless commerce
276,Đâu là ý sai về CRM,11,[X] Giúp quản lý hàng tồn,[ ] Tập trung vào tác động chiến lược hơn là tác động đến hoạt động,[ ] Lợi ích nói chung là dài hạn hơn là ngay lập tức,"[ ] Yêu cầu hiểu rằng lợi ích sẽ thực sự xảy ra và đặt ra những kỳ vọng
thực tế"
277,Đâu là đặc điểm về CRM Xuất sắc,11,[X] Hiểu rõ ràng về giá trị hiện tại và tiềm năng của khách hàng,"[ ] Định nghĩa khách hàng tồn tại,
nhưng không có sự đồng thuận
trong toàn tổ chức","[ ] Giá trị hiện tại được hiểu
nhưng giá trị tương lai không
được xem xét tích cực","[ ] Kiến thức về sở thích của
khách hàng tồn tại nhưng được
giữ trong silo"
278,Đâu là đặc điểm về CRM Trung Bình,11,"[X] Thông tin
có liên quan nhưng
không đầy đủ","[ ] Không có định nghĩa rõ ràng về
khách hàng","[ ] Giá trị khách hàng không đo
lường được","[ ] Không đánh giá cao mong
muốn và mong đợi của khách
hàng"
279,Đâu là đặc điểm về CRM Yếu,11,"[X] Dữ liệu không thể
có và được tổ
chức ở các địa điểm khác nhau","[ ] Định nghĩa khách hàng đã
thống nhất toàn tổ chức và liên quan
đến chiến lược hiện tại cũng nhưtương lai","[ ] Khả năng ghi nhớ và nhận ra khách hàng và điều chỉnh sản
phẩm của bạn theo sở thích của họ",[ ] Hiểu rõ ràng về giá trị hiện tại và tiềm năng của khách hàng
280,Đâu không phải là một thành phần của CRM,11,[X] Sản phẩm,[ ] Thông tin,[ ] Công nghệ,[ ] Con người
281,Đâu không phải  là một trở ngại trong thành công của CRM,11,[X] Ít khách hàng,[ ] Vấn đề tích hợp,[ ] Không có chiến lược dài hạn,[ ] Dữ liệu không chính xác
282,DMP là viết tắt của từ gì,11,"[X]Data  Management
Platform","[ ] Document Management
Platform","[ ] Data  Management
Process","[ ] Document  Management
Process"
283,Đâu không phải Lợi ích của Data Management Platform,11,[X] Tăng trưởng doanh thu,[ ] DMPs Giúp Hợp nhất Dữ liệu Khách hàng,[ ] Giúp thương hiệu thu hút được đối tượng mục tiêu,"[ ] Hợp lý hóa Quy trình Quản lý Dữ liệu
•"
284,CPD là viết tắt của từ gì,11,[X] Customer Data Platform,[ ] Customer Data Process,[ ] Customer Data Procedure,[ ] Customer Data Preparation
285,Ý nào sau đây là sai,11,"[X] DMP được xây dựng để tìm
kiếm mặt hàng tiềm năng,","[ ] DMP được xây dựng để tìm
kiếm khách hàng tiềm năng,
","[ ] CRM được xây dựng để quản
lý và nuôi dưỡng khách hàng
và","[ ] CDP giúp thu hút và cá nhân
hóa tất cả các giai đoạn của trải
nghiệm khách hàng"
286,Đâu không phải là thành phần của CDP Data Flow,11,[X] Preparation,[ ] Data,[ ] Unification,[ ] Segmentation
287,Đâu là nguyên liệu chính cho CRM,11,[x]THông tin,[]Quy trình,[]Công nghệ,[]Con người
288,Ưu diểm của CDP so với CRM,11,[x]Xử lý được nhiều loại dữ liệu,[]Tiết kiệm chi phí,[]Tiếp cận dễ hơn,????
289,"Thuật ngữ ""hàng tồn kho"" có thể bao gồm những gì?",12,[x]nguyên liệu thô,[x]công việc trong quá trình,[x] thành phẩm,[ ]sản phẩm mẫu
290,Mục đích của việc xác định các chỉ tiêu trước trong kiểm soát hàng tồn kho là gì?,12,[x]Đảm bảo mức tồn kho an toàn,[ ]Giảm sự linh hoạt của quy trình,[ ]Tăng mức tối đa hàng tồn kho,[ ]Loại bỏ mức đặt hàng
291,Hàng tồn kho chiếm tỷ trọng lớn trong doanh nghiệp ở mức nào?,12,[x]40%-50%,[ ]10%-20%,[ ] 20%-30%,[ ]30%-40%
292,Tồn kho đóng vai trò gì trong quan hệ giữa sản xuất và tiêu thụ?,12,[x]Là cầu nối giữa sản xuất và tiêu thụ,[ ] Giảm mức tồn kho để tiết kiệm chi phí,[ ]Làm tăng mức tồn kho để nhanh chóng đáp ứng nhu cầu của khách hàng,[ ]Loại bỏ mức tồn kho để tối ưu hóa quy trình sản xuất
293,Tại sao hàng tồn kho được coi là tài sản hiện tại trong kế toán?,12,[x]Vì công ty thường có ý định bán nó trong một khoảng thời gian ngắn,[ ] Vì nó là tài sản duy nhất của công ty,[ ]Vì công ty đánh giá giá trị theo thị trường,[ ]Vì công ty thường có ý định bán nó trong một khoảng thời gian dài
294,Hàng tồn kho được hạch toán bằng những phương pháp nào?,12,[x] tính giá nhập trước xuất trước (FIFO),[x]tính giá nhập sau xuất trước (LIFO),[x] tính chi phí bình quân gia quyền,[ ]FIFO và LIFO
295,Hệ thống kiểm kê định kỳ dựa vào điều gì?,12,[x]Số lượng hàng tồn kho thực tế,[ ]Giá trị hàng tồn kho,[ ]Giá trị thị trường của hàng tồn kho,[ ]Tình trạng kỹ thuật của hàng tồn kho
296,"Khi tiến hành đếm vật lý trong hệ thống kiểm kê định kỳ, thông tin hàng tồn kho được cập nhật như thế nào?",12,[x]Cập nhật định kỳ,[ ]Không cập nhật,[ ]Cập nhật chỉ khi có sự thay đổi,[ ]Cập nhật liên tục
297,Công thức nào thường được sử dụng trong kiểm kê định kỳ?,12,[x]COGS = (Hàng tồn kho đầu kỳ + Số hàng mua) - Hàng tồn kho cuối kỳ,[ ]COGS = (Hàng tồn kho cuối kỳ - Hàng tồn kho đầu kỳ) + Số hàng mua,[ ]COGS = Hàng tồn kho cuối kỳ - Hàng tồn kho đầu kỳ - Số hàng mua,[ ] COGS = Hàng tồn kho đầu kỳ + Hàng tồn kho cuối kỳ + Số hàng mua
298,Khả năng hiển thị theo thời gian thực trong chuỗi cung ứng được thực hiện bằng cách sử dụng những công nghệ nào?,12,"[x]Tự động hóa, cảm biến và phân tích",[ ]Máy tính và máy in,[ ]Đèn LED và loa thông báo,[ ] Máy quét mã vạch và điện thoại di động
299,EOQ đảm bảo điều gì đối với hàng tồn kho?,12,[x]Đảm bảo hàng tồn kho đáp ứng nhu cầu và giảm thiểu chi phí lưu giữ và lưu kho,[ ] Tăng chi phí lưu giữ và lưu kho,[ ] Giảm chi phí lưu giữ và lưu kho nhưng không đảm bảo hàng tồn kho đáp ứng nhu cầu,[ ]Không có ảnh hưởng gì đối với chi phí lưu giữ và lưu kho
300,Hệ thống quản lý hàng tồn kho (IMS) theo dõi điều gì?,12,[x]Tất cả các hàng hóa trong mỗi kho và các tài liệu mà kho lưu trữ nó,[ ]Tất cả hàng tồn kho trên tất cả các địa điểm,[ ]Vị trí của từng loại hàng tồn kho trong kho,[ ]Tất cả các loại hàng tồn kho ở mọi vị trí
301,Hệ thống quản lý kho (WMS) theo dõi điều gì?,12,[x]Vị trí của từng loại hàng tồn kho trong kho,[ ]Tất cả hàng tồn kho trên tất cả các địa điểm,[ ]Tất cả các hàng hóa trong mỗi kho và các tài liệu mà kho lưu trữ nó,[ ]Tất cả các loại hàng tồn kho ở mọi vị trí
302,Hệ thống quản lý hàng tồn kho (IMS) và hệ thống quản lý kho (WMS) thường làm việc như thế nào?,12,[x]Làm việc cùng nhau,"[ ]Làm việc độc lập, không tương tác",[ ]cái này thực hiện thì cái kia dừng,[ ]không liên quan đến nhau
303,Khi nào thì IMS và VMS bắt đầu khác nhau,12,[x]Tại cấp độ nâng cao hơn,[ ]Tại các tính năng phân tích chi phí vật liệu tiêu thụ,[ ] Tại việc di chuyển hiệu quả vật liệu trong chính kho,[ ]Tại các tính năng giám sát thời gian thực
