STT,Câu hỏi,Chương,A,B,C,D,correct_answer
1,Lĩnh vực chuyển đổi số nào tập trung vào việc sử dụng công nghệ để cải thiện hiệu quả của các quy trình kinh doanh hiện có?,1,Chuyển đổi quy trình,Chuyển đổi mô hình kinh doanh,Chuyển đổi miền thị trường,Chuyển đổi cơ cấu tổ chức và văn hóa doanh nghiệp,A
2,Chuyển đổi mô hình kinh doanh trong quá trình chuyển đổi số nhằm mục đích gì?,1,Tạo ra mô hình kinh doanh mới để thích ứng với thị trường số.,Tăng hiệu suất sản xuất.,Cải thiện văn hóa tổ chức.,Mục tiêu tăng doanh số bán hàng.,"A, B"
3,"Trong quá trình chuyển đổi số, tại sao việc chuyển đổi cơ cấu tổ chức và văn hóa doanh nghiệp là quan trọng?",1,Tạo ra sự linh hoạt và nhanh nhẹn hơn trong quyết định kinh doanh.,Duy trì các quy trình truyền thống để giữ vững văn hóa tổ chức.,Giảm động lực cho nhân viên.,Giảm chi phí chuyển đổi.,A
4,Đâu là một trong những lĩnh vực chính của quá trình chuyển đổi số?,1,Chuyển đổi quy trình,Chuyển đổi sản phẩm,Chuyển đổi quy mô kinh doanh,Chuyển đổi phương pháp thanh toán,A
5,Chữ T trong SWOT là viết tắt của,2,Threats,Trend,Trick,Technology,A
6,Đâu không phải 1 trong 5 nhóm chức năng nghiệp vụ cơ bản?,2,Technology,Strategy,Human resource,Operation,A
7,Cơ cấu tổ chức(OS) nào là phổ biến nhất hiện nay ?,2,Cấu trúc chức năng,Cấu trúc bộ phận,Cấu trúc phẳng,Cấu trúc ma trận,A
8,Cơ cấu tổ chức nào là phù hợp và tốt nhất cho mọi doanh nghiệp?,2,Cấu trúc bộ phận,Cấu trúc Agile,Cấu trúc chức năng,x Không có OS nào là tốt nhất cho mọi doanh nghiệp,D
9,"Quá trình nhận dạng điểm mạnh, yếu, cơ hội, thách thức gọi là:",2,XPhân tích SWOT,Phân tích PEST,Lực lượng của Porter,Phân tích chuỗi giá trị,A
10,Hình thức doanh nghiệp do một người sở hữu và quản lý gọi là:,2,Doanh nghiệp hợp danh,Doanh nghiệp tư nhân,Công ty cổ phần,Công ty trách nhiệm hữu hạn,
11,Cách phân loại cơ cấu tổ chức doanh nghiệp mà trong đó hầu hết tất cả các nhân viên đều tham gia vào quá trình ra quyết định và báo cáo tập trung là cách phân loại dựa theo:,2,Cấu trúc phẳng,Cấu trúc bộ phận,Cấu trúc chức năng,Cấu trúc ma trận,A
12,CRM là viết tắt của cụm từ nào sau đây?,2,Customer Revenue Management,Customer Relationship Management,Customer Retention Marketing,Customer Response Management,B
13,Yếu tố nào sau đây không nằm trong việc phân tích SWOT?,2,Weaknesses,Threats,Opportunities,Sustainability,D
14,Nhóm chức năng nào chịu trách nhiệm xác định mục tiêu và hướng đi của doanh nghiệp?,2,Chiến lược,Tiếp thị và Bán hàng,Kế toán và Tài chính,Nguồn nhân lực,A
15,HR đảm nhận trách nhiệm chính là gì?,2,Xây dựng và duy trì nguồn nhân lực chất lượng.,Quản lý các quy trình vận hành.,Phát triển chiến lược tiếp thị.,Giám sát tình hình tài chính.,A
16,Tiếp thị và Bán hàng đóng vai trò quan trọng trong:,2,Tiếp cận và giữ chân khách hàng.,Phát triển chiến lược tài chính.,Xây dựng nguồn nhân lực chất lượng.,Quản lý các quy trình vận hành.,"A, C"
17,Cách phân loại doanh nghiệp nào sau đây là sai?,2,"Kích thước ( Big, SME, Micro)","Ngành nghề Kinh doanh ( Sản suất,
XNK, Phần mềm … )","Loại hình ( Public, Private, FDI,
NGO )","Tuổi doanh nghiệp (5 năm tuổi, 10 năm tuổi,...)","B, D"
18,Đâu là mô tả sai về thương mại điện tử (E-commerce),2,Là nơi diễn ra các giao dịch kinh doanh thông qua mạng Internet,Giúp mở rộng thị trường của doanh nghiệp ra thị trường trong nước và quốc tế,Là nền tảng cốt lõi cần thiết để xây dựng và vận hành một hệ thống bán hàng hoá trực tuyến,"Cơ sở hạ tầng cho EC là một môi trường máy tính kết nối mạng trong kinh doanh, nhà dân và chính phủ",C
19,Đâu là đầu vào của chức năng tiếp thị và bán hàng?,2,Chi phí vận chuyển,Chiến lược bán hàng,Giá sản phẩm,Nhu cầu tuyển dụng,A
20,"Trong hệ thống thông tin, khái niệm ""Stakeholders"" là gì?",2,Các bên liên quan có liên quan đến hệ thống,Người phân tích hệ thống,Người quản lý dự án,Chuyên gia bảo mật,A
21,Đâu là Quy tắc hướng kinh doanh,3,Visions,Outline,Standard,Landscape,"A, B"
22,Đâu là Quy tắc tập trung vào CNTT,3,Visions,Designs,Standard,Landscape,"B, C, D"
23,cung cấp các chế độ xem có cấu trúc ('bản đồ') về tất cả các khả năng kinh doanh của tổ chức là vai trò của:,3,"Business capability 
models (BCMs)",Landscape diagrams,roadmaps,Solution designs,A
24,Vai trò của Togaf ADM,3,"cung 
cấp khả năng quản lý 
vòng đời để tạo và 
quản lý kiến ​trúc 
trong doanh nghiệp","định nghĩa giải pháp, thiết kế 
chi tiết, kiến ​trúc giải pháp đầy 
đủ, kiến ​trúc khởi động dự án","cung cấp các quan 
điểm có cấu trúc về 
các khoản đầu tư 
CNTT trong tương lai 
được lên kế hoạch 
với các mốc thời gian 
dự kiến ​của chúng 
phù hợp với các khả 
năng hoặc lĩnh vực 
kinh doanh khác 
nhau","cung cấp các chế độ xem có 
cấu trúc ('bản đồ') về tất cả 
các khả năng kinh doanh của 
tổ chức","A, D"
25,4 loại lĩnh vực kiến trúc doanh nghiệp là:,3,"Business, Data, Application, Technology","Business, Data, Services, Technology","Business, Data, Services, 
Network","Business, Data, Application,
Network",A
26,EA Framewwork nào có cốt lõi là Phương pháp Phát triển Kiến trúc (ADM).,3,Zachman,TOGAF,FEAF,Gartner INC,B
27,Kiến trúc hệ thống thông tin là pha nào trong kiến trúc TOGAF?,3,C,A,B,D,A
28,"Trong kiến trúc TOGAF, biểu đồ Usecase có thể được tạo trong pha nào sau đây?",3,D - Kiến trúc công nghệ,A - Tầm nhìn kiến trúc,E - Cơ hội và giải pháp,G - Kế hoạch chuyển đổi,A
29,"TOGAF dựa trên bốn lĩnh vực chuyên môn có liên quan với nhau được gọi là miền kiến ​​trúc, đâu không phải là một trong 4 lĩnh vực chuyên môn trên?",3,Kiến trúc kinh doanh,Kiến trúc dữ liệu hoặc thông tin,Kiến trúc ứng dụng,Kiến trúc hạ tầng doanh nghiệp,D
30,Phát biểu nào sau đây là sai về Togaf ADM,3,Togaf ADM là một quy trình lặp,Trung tâm của Togaf ADM là Quản lý các yêu cầu (Requirements Management),"Các tầng côt lõi (Core Layers) tương ứng với 4 pha của Togaf ADM là pha A, pha B, pha C và pha D",Mục đích của Togaf ADM là phát triển kiến trúc doanh nghiệp,C
31,Các sáng kiến hoặc dự án CNTT riêng biệt thuộc loại EA Artifact nào?,3,Permanent EA Artifacts,Temporary EA Artifacts,Decisions EA Artifacts,Facts EA Artifacts,B
32,Pha E trong kiến trúc TOGAF là gì,3,Cơ hội và giải pháp,Kiến trúc kinh doanh,Kiến trúc Hệ thống thông tin,Lập kế hoạch thay đổi,A
33," ""Tôn trọng sự đa dạng, đề cao việc tích hợp các thành phần không đồng nhất"" đây là mô tả phân loại cơ cấu tổ chức theo cấu trúc nào?",3,Cấu trúc bộ phận,Cấu trúc chức năng,Cấu trúc ma trận,Cấu trúc phẳng,A
34,2 bước chính trong xây dựng hệ thống thông tin là,3,Phân tích hệ thống và thiết kế hệ thống,Xây dựng hệ thống và lấy phản hồi từ khách hàng,Thiết kế chức năng và thiết kế giao diện,Xây dựng mẫu thử và xây dựng hệ thống thật,"A, B, D"
35,ROI trong IS là gì?,3,Chỉ số xác định tỉ số hiệu quả cải thiện tính theo phần trăm so với năng suất khi chưa sử dụng hệ thống.,Chỉ số xác định tỉ số lợi ích được tạo ra tính theo phần trăm so với chi phí đầu tư vào hệ thống.,Chỉ số xác định tỉ số nhân công có thể cắt giảm được khi sử dụng hệ thống.,Chỉ số xác định tỉ số thời gian giải quyết trước và sau khi sử dụng hệ thống.,"A, B, C, D"
36,Các thành phần của hệ thống thông tin?,3,"Con người, Phần cứng, Phần mêm, Mạng, Chiến lược và quy trình","Con người, Phần cứng, Phần mêm","Mạng, Chiến lược và quy trình","Phần cứng, Phần mêm, Mạng",A
37,Công thức tính Productivity ?,4,Output/Input,Output x Input,Output + Input,Output - Input,"A, B"
38,Lợi tức đầu tư được viết tắt là ?,4,ROI,CTO,EIS,RIO,A
39,Phát biểu nào sau đây đúng ?,4,IT là 1 phần của IS,IS là 1 phần của IT,IT và IS không liên quan đến nhau,Procedure không phải 1 phần của IS,A
40,EDMS là viết tắt của ?,4,hệ thống quản lý tài liệu điện tử,hệ thống quản lý nhân sự,hệ thống quản lý nội dung doanh nghiệp,quản lý quan hệ khách hàng,A
41,Đâu là hoạt động của hệ thống thông tin,4,Processing,Feedback,Scope,running,"A, B, C"
42,Chức năng của kiến trúc ứng dụng,4,"cung cấp một danh mục quan trọng về các ứng 
dụng trong doanh nghiệp, mô tả công việc mà chúng thực hiện để 
chuyển đổi, truyền tải và lưu trữ thông tin.","c mô tả giao diện được yêu cầu bởi các ứng dụng cũng như 
cách các ứng dụng tương tác để thực hiện các hoạt động trong các mô 
hình kinh doanh","cung 
cấp khả năng quản lý 
vòng đời để tạo và 
quản lý kiến ​trúc 
trong doanh nghiệp",tất cả đáp án trên,"A, B"
43,Phân tích và thiết kế hệ thống chủ yếu tập trung vào,4,con người,xquy trình,công nghệ,hệ thống,"A, B, C"
44,Năm thành phần tạo nên một hệ thống thông tin là gì?,4,"Con người,Phần cứngPhần mềmHệ thống mạngTài nguyên dữ liệu","Con người,Máy tính,Phần mềm,Hệ thống mạng,Tài nguyên dữ liệu","Con người,Phần cứng,Phần mềm,Công nghệ,Tài nguyên dữ liệu","Con người,Phần cứng,Phần mềm,Hệ thống mạng,Máy tính",A
45,Đâu là đặc điểm của hệ thống thông tin điều hành,4,Hỗ trợ quản lý chiến lược cấp cao,Sử dụng dữ liệu quan trọng từ các hệ thống khác,"hỗ trợ các hoạt động ra quyết định của doanh nghiệp hoặc tổ 
chức.","quản lý giao dịch, ghi nhận dữ liệu","A, B"
46,Tính năng chính của Hệ thống xử lý giao dịch là gì?,4,Ghi nhận dữ liệu giao dịch,Quản lý nhân sự,Quản lý tài chính,Marketing,A
47,Một ví dụ điển hình của TPS là gì?,4,Hệ thống máy chấm công,Hệ thống email,Hệ thống giám sát nhân viên,Hệ thống video call,A
48,ATM thuộc loại hệ thống nào sau đây?,4,Hệ thống xử lý giao dịch,Tích hợp,Giao dịch điểm bán hàng,Hệ thống kế toán,A
49,Phòng ban nào sau đây không sử dụng Hệ thống xử lý giao dịch (TPS)?,4,Nghiên cứu và phát triển,Marketing,Tài chính,Kế toán,A
50,Đặc điểm nào sau đây không phải là đặc điểm của hệ thống thông tin điều hành?,4,Tích hợp thông tin từ hệ thống thông tin quản lý,Sử dụng dữ liệu quan trọng từ các hệ thống khác,Phát triển kinh tế và tin tức thị trường,Hỗ trợ quản lý chiến lược cấp cao,A
51,"Khái niệm ""Portal Concept"" trong EIS là gì?",4,Một nơi có liên kết đến tất cả thông tin,Hệ thống tích hợp thông tin bên ngoài,Hỗ trợ quản lý chiến lược,Sử dụng dữ liệu quan trọng từ các hệ thống khác,A
52,"Trong các phát biểu sau về hệ thống thông tin doanh nghiệp (BIS), phát biểu nào dưới đây là không đúng?",4,"Hệ thống Thông tin Doanh nghiệp là hệ thống thông tin giúp cải thiện các chức năng, các quy trình kinh doanh của doanh nghiệp.",Hệ thống thông tin doanh nghiệp được áp dụng để phát triển một kiến ​​trúc doanh nghiệp đáp ứng nhu cầu kinh doanh và công nghệ thông tin của một tổ chức.,Hệ thống thông tin doanh nghiệp có thể được tích tích hợp từ nhiều các hệ thống thành phần.,Hệ thống thông tin doanh nghiệp không thể đạt được bằng tổng các chức năng của hệ thống con,B
53,Các loại hệ thống thông tin trong doanh nghiệp?,4,Theo cấp độ kinh doanh,Theo năng lực kinh đoan,Theo quy trình nghiệp vu,Cả 3 đáp án trên,D
54,EIS là gì?,4,Hệ thống quán lý thông tin,Hệ thống hỗ trợ ra quyết định,Hệ thống thông tin diều hành,Hệ thống cộng tác doanh nghiệp,C
55,Chức năng chính của EIS là gì,4,Hỗ trợ quản lý chiến lược cấp cao và nhu cầu ra quyết định,Tổ chức các sự kiện hàng năm,Quản lý các giao dịch giao hàng,Đo lường hiệu suất công việc hàng ngày,A
56,Đâu là đặc điểm của hệ thống chuyên gia?,4,là HTTT hướng máy tính đưa ra các đề xuất và các hoạt động giống như chuyên gia giúp nâng cao hiệu suất của người dùng mới,Là cấu trúc tương tác dựa trên máy tính và hệ thống con nhằm giúp các nhà ra quyết định sử dụng công nghệ để nâng cao hiệu quả mô hình,"Là một hệ thống thông tin được sử dụng để tạo điều kiện chia sẻ hiệu quả tài liệu và kiến thức giữa
các nhóm và cá nhân trong một doanh nghiệp",là một loại hệ thống hỗ trợ quản lý tạo điều kiện và hỗ trợ thông tin điều hành cấp cao và nhu cầu ra quyết định,A
57,Mục đích của hệ thống thông tin doanh nghiệp?,4,"Hệ thống thông tin doanh nghiệp cung cấp một hệ thống duy nhất đóng vai trò trung tâm trong tổ chức nhằm đảm bảo thông tin có thể được chia sẻ trên tất cả các cấp chức năng và hệ 
thống phân cấp quản lý",Hệ thống thông tin doanh nghiệp cung cấp một nền tảng công nghệ cho phép các tổ chức tích hợp và điều phối các quy trình kinh doanh,có thể được sử dụng để hợp nhất các ứng dụng hiện có.,Cả 3 đáp án trên,D
58,Hệ thống thông tin trong doanh nghiệp là gì?,4,"Một hệ thống bao gồm con người, dữ liệu, phần mềm và thiết bị được kết nối với nhau để thu thập, xử lý và phân phối thông tin.","Một hệ thống bao gồm dữ liệu, phần mềm và thiết bị được kết nối với nhau để thu thập, xử lý và phân phối thông tin.","Một hệ thống bao gồm con người, dữ liệu và thiết bị được kết nối với nhau để thu thập, xử lý và phân phối thông tin.","Một hệ thống bao gồm dữ liệu và thiết bị được kết nối với nhau để thu thập, xử lý và phân phối thông tin.","A, B, C, D"
59,Các thành phần chính của hệ thống thông tin trong doanh nghiệp là gì?,4,"Con người, dữ liệu, phần mềm và thiết bị.","Dữ liệu, phần mềm và thiết bị.",Con người và dữ liệu.,Dữ liệu và thiết bị.,A
60,Con người trong hệ thống thông tin trong doanh nghiệp đóng vai trò gì?,4,Cả ba vai trò trên.,Xử lý dữ liệu.,Phân phối thông tin.,Thu thập dữ liệu.,"A, B"
61,Chức năng chính của hệ thống thông tin trong doanh nghiệp là gì?,4,Cả ba chức năng trên.,Quản lý quy trình kinh doanh,Tự động hóa các tác vụ thủ công,Hỗ trợ ra quyết định,A
62,Phát biểu nào không chính xác?,4,Business collaboration là một cấu hình của hai hoặc nhiều vai trò kinh doanh dẫn đến hành vi tập thể cụ thể trong một bối cảnh cụ thể,Business interface là một quy chuẩn để xây dựng mô hình nghiệp vụ doanh nghiệp,Business object là một đơn vị thông tin từ góc độ kinh doanh,Representation là một hình thức cảm nhận được của thông tin được thực hiện bởi một đối tượng kinh doanh,B
63,"Trong lĩnh vực hệ thống thông tin doanh nghiệp, ECM là viết tắt của từ gì",4,Enterprise Content Management,Enterprise Communication Management,Enterprise Control Management,Enterprise Construction Management,A
64,"Trong lĩnh vực hệ thống thông tin doanh nghiệp, EAM là viết tắt của từ gì",4,Enterprise Association Management,Enterprise Asset Management,Enterprise Account Management,Enterprise Advertising Management,B
65,Tư duy hệ thống cung cấp cái nhìn sâu sắc về vai trò của hệ thống thông tin trong quá trình nào?,4,Quá trình xử lý dữ liệu,Quá trình từ dữ liệu đến tri thức,Quá trình tạo ra hệ thống,Quá trình hỗ trợ người dùng,"A, B"
66,"Khi một hệ thống thông tin phục vụ một hệ thống khác, nguyên tắc cơ bản của tư duy hệ thống là gì?",4,Xác định bản chất in/out của hệ thống phục vụ,Tạo ra nhiều hệ thống nhỏ,Hỗ trợ mọi hoạt động của hệ thống khác,Tăng cường tính linh hoạt của hệ thống,A
67,"Sắp xếp các bước sau theo thứ tự của vòng đời hệ thống truyền thống (SDLC):
1. Gói phần mềm
2. Gia công phần mềm
3. Tạo mẫu
4. Phát triển người dùng cuối",4,1 - 3 - 2 - 4,3 - 1 - 4 - 2,2 - 1 - 4 - 3,4 - 3 - 1 - 2,B
68,Hệ thống nào sau đây dành cho quản lý cấp cao nhất ?,5,DSS,TPS,MIS,cả 3 phương án trên,A
69,Việc quản lý hoạt động với TPS trở nên phức tạp khi nào?,5,"công ty không đủ 
lớn để sử dụng hiệu quả hệ thống xử lý giao dịch.",Khi công ty quá lớn,Khi có quá nhiều chi nhánh công ty,Khi không có vấn đề nào xảy ra,"A, D"
70,TPS cần những thành phần gì để quản lý hiệu quả khối lượng dữ liệu cao?,5,cần cả phần mềm và phần cứng,phần cứng,không cần phần mềm phần cứng,phần mềm,A
71,Điều gì làm cho TPS dễ bị vi phạm bảo mật phần mềm?,5,Virus và malware,Khối lượng dữ liệu cao,Mất điện,Sự phức tạp và quá lớn của công ty,A
72,"Biến đổi dữ liệu, tính toán là chức năng nào của hệ thống xử lý giao dịch",5,Chức năng đầu vào,Chức năng đầu ra,Chức năng lưu trữ,Chức năng xử lý,D
73,Quá trình thu thập dữ liệu(Data Collection) bao gồm,5,Data Editing,Data correction,Data Storage,Data Production,"A, B"
74,Quá trình thao tác dữ liệu(Data manipulation),5,Data Editing,Data correction,Data Storage,x Data Production,"C, D"
75,Đặc điểm của hệ thống xử lý giao dịch,5,"hiệu suất, xử lý hàng loạt","xử lý thời gian thực,
có kiểm soát","độ tin cậy cao,
hồi đáp nhanh",cả 3 đáp án trên,"A, B, D"
76,Phát biểu nào sau đây sai về giao dịch( Transaction),5,"Giao dịch là một hành động 
hoặc một loạt các hành động","Giao dịch là một đơn vị 
logic của quá trình xử lý dữ liệu",Giao dịch được thực hiện bởi một hoặc nhiều người dùng,"Giao dịch là thực hiện các
hoạt động truy cập nội dung của cơ sở dữ liệu.","B, C"
77,Đâu là ví dụ về giao dịch(Transaction),5,"x Siena College lập hóa đơn 
cho một sinh viên cho các lớp 
học",Siena College đăng ký sinh viên vào các lớp học,Văn phòng bác sĩ lên lịch thăm bệnh nhân,"Kiểm tra tiền mặt của Văn 
phòng bác sĩ từ bệnh nhân","A, D"
78,Đâu là ví dụ về quy trình( Process),5,"x Siena College đăng ký sinh
viên vào các lớp học",Siena College lập hóa đơn cho một sinh viên cho các lớp học,Văn phòng bác sĩ lên lịch thăm bệnh nhân,"Kiểm tra tiền mặt của Văn 
phòng bác sĩ từ bệnh nhân","A, C"
79,Lợi ích của việc sử dụng hệ thống xử lý giao dịch,5,x Tăng tốc độ giao dịch,Tăng hiệu quả chi phí,Cải thiện độ tin cậy,Quản lý thủ công,"A, B, C"
80,Hệ thống đăng ký tiền mặt là hệ thống,5,PCS,x TPS,MIS,ECS,B
81,Bảo mật dữ liệu trên tài liệu là chức năng nào của TPS?,5,Chức năng đầu vào,Chức năng đầu ra,Chức năng lưu trữ,Chức năng xử lý,"A, D"
82,Loại hệ thống thông tin chính phục vụ việc quản lý hoạt động kinh doanh hàng ngày là:,5,XTPS,DSS,EIS,MIS,A
83,"Sự kết hợp giữa hệ thống nào có thể giảm lãng phí, nâng cao hiệu quả và tăng lợi nhuận?",5,MES và ECS,PCS và TPS,TPS và MIS,XMES và ERP,D
84,Quá trình thu thập và nhập dữ liệu cần thiết cho các giao dịch trong TPS gọi là:,5,Phân tích dữ liệu,XThu thập dữ liệu,Lưu trữ dữ liệu,Sản xuất tài liệu,"B, D"
85,"Công cụ nào thường được sử dụng để tổ chức, quản lý, chia sẻ các dạng thông tin kinh doanh đa dạng?",5,Hệ thống quản lý nhiệm vụ và dự án,XCông cụ quản lý kiến thức,Phần mềm nhóm,Hệ thống cộng tác doanh nghiệp,B
86,Loại hệ thống xử lý giao dịch xử lý các giao dịch kinh doanh ngay lập tức mà không có sự chậm trễ để tích lũy giao dịch là,5,Xử lý theo lô,XXử lý trực tuyến,Hệ thống thông tin quản lý,Hệ thống hỗ trợ quyết định,"A, B"
87,"Trong hệ thống xử lý giao dịch (TPS), nguyên tắc ACID (Atomicity, Consistency, Isolation, Durability) áp dụng vào việc gì?",5,Bảo đảm tính nhất quán và độ tin cậy của giao dịch,Đảm bảo an toàn thông tin trong hệ thống,Tối ưu hóa hiệu suất xử lý giao dịch,Tăng cường khả năng mở rộng của hệ thống,"A, C"
88,Hệ thống điều khiển sản xuất (PCS) thường sử dụng các cảm biến và actuators (bộ điều khiển) để thực hiện điều khiển các quá trình sản xuất. Công nghệ nào sau đây thường được PCS sử dụng để giám sát và điều khiển các thiết bị trong một nhà máy?,5,SCADA (Supervisory Control and Data Acquisition),LoRa (Long Range),NFC (Near Field Communication),RFID (Radio-Frequency Identification),A
89,Hệ thống hỗ trợ ra quyết định (ECS) thường cung cấp thông tin như thế nào cho cấp quản lý cao nhất trong tổ chức?,5,Thông tin tổng quan về kết quả hoạt động kinh doanh và dự đoán,Dữ liệu về quá trình sản xuất và lịch trình công việc,Thông tin về tình hình bảo mật mạng và an ninh thông tin,Dữ liệu chi tiết và báo cáo hàng ngày,"A, B"
90,Hệ thống nào không thuộc nhóm hệ thống hỗ trợ vận hành (Operation Support System)?,5,MIS,PCS,TPS,ECS,A
91,Đâu không phải ví dụ của hệ thống quản lí giao dịch (TPS)?,5,Hệ thống quản lí thông tin khách hàng,Hệ thống đặt trước vé máy bay,Thiết bị đầu cuối điểm bán hàng (hoặc máy POS),Hệ thống cho mượn của thư viện,A
92,Đâu không phải là ví dụ về giao dịch?,5,Người A tặng người B món quà trị giá $800,Cửa hàng cho khách thuê xe đạp trong 2 tiếng,Mua bán sản phẩm tại cửa hàng,Cho vay tiền với mục đích lấy lãi,"A, B"
93,"Điền vào chỗ trống: ""Hệ thống hợp tác trong doanh nghiệp (Enterprise Collaboration Systems - ECS) ...""",5,là một hệ thống thông tin được sử dụng để tạo điều kiện chia sẻ hiệu quả tài liệu và kiến thức giữa các nhóm và cá nhân trong một doanh nghiệp,"là cấu trúc tương tác dựa trên máy tính và hệ thống con nhằm giúp các nhà ra quyết định sử dụng công nghệ truyền thông, dữ liệu, tài liệu, kiến ​​thức và mô hình phân tích để xác định và giải quyết vấn đề.","là loại hệ thống thông tin hướng máy tính đưa ra các đề xuất và hoạt động giống như một chuyên gia trong một lĩnh vực cụ thể, giúp nâng cao hiệu suất của người dùng mới bắt đầu.",là một hệ thống thông tin hỗ trợ các hoạt động ra quyết định của doanh nghiệp hoặc tổ chức.,"A, B, C"
94,Yêu cầu cao trong việc tích hợp hiệu quả TPS có thể gây ra điều gì trong hoạt động hàng ngày của công ty?,5,Sự bất ổn và không ổn định,Sự tiến bộ và phát triển,Sự ổn định,Sự đơn giản và hiệu quả,A
95,PCS quản lý quy trình nào sau đây?,5,Quy trình tẩm ướp gia vị và chiên cánh gà McDonald's,Quy trình tuyển dụng nhân viên chăm sóc khách hàng Viettel,Quy trình thanh toán hóa đơn tiền điện qua ví điện tử MOMO,Quy trình thủ tục làm lại thẻ sinh viên ở Đại học Bách Khoa Hà Nội,A
96,Những đặc điểm của hệ thống xử lý giao dịch,5,Xử lý thời gian thực,Hồi đáp nhanh hiệu suất,Xử lý hàng loạt,Cả 3 đáp án trên,"A, C, D"
97,Phát biểu không đúng về Business Transaction,5,Là một đơn vị dữ liệu của quá trình xử lý logic,Tạo bởi một hành động hoặc một loạt các hành động,Được thực hiện bởi một người dùng duy nhất,Kết quả thực hiện truy cập nội dung của khách hàng,A
98,Xử lý giao dịch trực tuyến (OLTP) là một khái niệm liên quan đến loại hệ thống nào?,5,Hệ thống xử lý giao dịch (TPS),Hệ thống xử lý quyết định (PCS),Hệ thống hỗ trợ quyết định (ECS),Hệ thống thông tin quản lý (MIS),"A, B"
99,Công cụ nào sau đây không phải là một phần thành phần của hệ thống cộng tác doanh nghiệp?,5,Phần mềm nhóm,Phần mềm quản lý dự án,Hệ thống điều khiển quy trình sản xuất,Công cụ quản lý kiến thức,C
100,Thành phần chính nào sau đây không phải là một phần của hệ thống xử lý giao dịch?,5,Quy trình xử lý,Quy trình nhập liệu,Dữ liệu,Khách hàng,"A, D"
101,Hệ thống nào sau đây không phải là một hệ thống xử lý giao dịch điển hình?,5,Hệ thống đặt vé máy bay,Hệ thống quản lý nhân sự,Hệ thống thanh toán ngân hàng,Hệ thống điểm bán hàng,B
